squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,category,priceClass
38700,25,1,1,26,101,4,7,1996,0,1,5100,5564,956,1,8,Basic,low
89991,84,0,0,36,91327,3,4,2015,0,1,7757,804,603,0,7,Basic,very_high
70942,36,1,1,28,34429,5,9,2019,0,1,7964,2118,265,0,3,Basic,high
17368,92,1,1,37,35975,9,8,1991,0,0,4261,8875,642,0,9,Basic,very_low
61911,51,0,0,89,54830,4,3,2000,1,1,8178,1534,410,0,10,Basic,high
14213,73,0,1,32,48647,8,4,2013,1,1,3651,2332,745,0,3,Basic,very_low
85460,71,1,1,58,53878,5,10,2003,0,0,6799,4256,770,1,9,Basic,very_high
11788,9,1,0,15,83215,1,2,2020,0,1,1914,6239,982,1,6,Basic,very_low
31141,6,0,1,3,4464,9,10,2020,0,1,3258,8577,514,1,8,Basic,low
85645,49,1,0,1,66155,6,3,1998,1,1,1660,5116,426,0,0,Basic,very_high
31505,13,0,1,6,50880,9,5,1991,0,1,729,5519,534,1,0,Basic,low
54715,74,0,0,38,6441,2,4,1997,0,1,5908,4317,776,0,7,Basic,medium
74832,60,1,1,69,29445,3,3,1992,0,1,3427,5598,209,1,10,Basic,high
75985,60,1,0,67,6517,6,9,2009,1,1,4878,281,384,1,5,Basic,high
57412,53,1,0,6,94887,4,9,2013,0,1,4079,2525,538,1,5,Basic,medium
43859,14,0,0,8,17643,4,9,2021,1,0,35,3697,780,1,5,Basic,medium
65052,24,0,0,25,11880,9,7,1992,1,0,6382,8045,976,1,5,Basic,high
41700,60,1,0,7,98811,8,6,1991,0,0,8181,8167,728,1,4,Basic,medium
59834,90,1,1,50,64277,10,6,2018,0,1,4468,7729,925,0,5,Basic,medium
68717,60,0,1,13,88535,6,10,2004,0,0,5345,9447,605,1,4,Basic,high
99338,73,0,1,88,16935,6,1,2007,1,1,7399,2750,867,1,3,Basic,very_high
48825,41,0,0,25,83970,2,4,2000,1,0,7897,7315,354,0,9,Basic,medium
63941,22,0,0,12,56147,10,5,1994,1,1,9722,7407,340,1,4,Basic,high
70606,17,1,1,79,38,7,3,2017,1,0,4927,1285,197,0,5,Luxury,high
7685,43,0,1,54,53674,4,8,1994,0,1,610,3674,394,1,2,Basic,very_low
1121,9,1,1,80,18753,6,1,1990,0,0,2530,93,389,1,8,Basic,very_low
28452,50,0,0,72,65296,2,8,2007,0,0,4152,898,719,0,9,Basic,low
89823,34,1,0,55,81000,7,7,1990,1,1,5285,5089,751,1,1,Basic,very_high
97380,94,1,1,7,39343,9,5,2006,0,0,6798,2050,997,1,7,Basic,very_high
81336,70,1,0,53,35439,10,6,1995,0,0,2406,8168,212,1,5,Basic,very_high
73300,17,0,1,68,30672,9,3,2019,0,1,3555,2298,991,1,2,Basic,high
96455,47,0,0,63,4199,3,1,1999,0,1,5328,2664,137,0,5,Basic,very_high
68416,87,1,0,48,60979,8,7,2010,0,0,1811,6776,424,0,6,Basic,high
48299,88,0,1,34,36929,7,5,2010,0,1,1928,2776,846,1,1,Basic,medium
6121,70,1,0,31,8342,5,1,2004,1,0,8341,1716,560,0,10,Basic,very_low
13121,51,1,0,94,71226,4,1,2000,0,0,2124,9219,108,1,4,Basic,very_low
33662,46,1,0,38,59,7,6,2010,1,1,7341,2488,561,1,7,Basic,low
1562,85,1,1,31,78230,5,6,1996,0,0,701,2562,115,1,9,Basic,very_low
52899,33,0,1,54,17777,9,3,2006,0,1,2001,6340,613,0,1,Basic,medium
46183,4,1,0,5,98252,9,4,2007,1,0,735,1122,956,0,3,Basic,medium
58938,83,1,1,64,51038,5,4,1996,0,0,5690,1146,738,0,9,Basic,medium
45452,11,0,0,15,98506,9,3,1992,1,1,2811,9474,929,0,5,Basic,medium
87190,99,1,0,14,68366,9,7,2013,0,1,8633,5913,406,0,0,Basic,very_high
33814,70,0,1,63,64240,8,6,2014,1,0,3128,8963,328,1,4,Basic,low
39445,100,0,0,66,31733,10,5,1990,1,1,1391,4942,992,0,10,Basic,low
84696,69,0,1,25,76100,7,4,1991,0,1,6935,5142,541,0,6,Basic,very_high
81645,95,1,1,37,5500,10,2,2013,1,1,6166,9091,630,0,6,Luxury,very_high
61911,51,0,0,89,54830,4,3,2000,1,1,8178,1534,410,0,10,Basic,high
5630,66,1,1,66,27101,5,4,2013,0,0,9344,600,747,0,8,Basic,very_low
47377,91,1,1,12,93863,6,4,2015,0,0,6751,7894,158,1,4,Basic,medium
42078,4,1,1,9,51158,5,3,2005,0,0,8430,4723,185,0,6,Basic,medium
59183,22,0,0,54,54858,3,2,1994,1,1,1612,1694,688,1,0,Basic,medium
35930,95,0,1,27,69358,10,3,2012,1,0,4611,4419,470,0,0,Basic,low
86526,50,1,1,89,3795,3,8,2003,1,1,4774,6436,735,1,6,Luxury,very_high
6807,53,0,1,19,96312,3,3,2008,1,0,2693,8767,503,0,0,Basic,very_low
69664,73,1,0,66,48780,9,10,2009,0,0,4266,5174,778,0,4,Basic,high
66119,39,1,0,64,86171,8,5,1991,0,1,5860,4947,537,1,10,Basic,high
65132,28,1,0,98,15303,2,3,1992,0,0,8298,813,797,1,3,Basic,high
96173,12,1,0,36,36812,7,7,2015,1,1,837,3716,564,0,9,Basic,very_high
26061,95,0,0,27,18445,1,3,1993,0,0,4049,6484,848,1,9,Basic,low
57557,19,0,1,36,70739,4,7,2007,1,1,5908,8988,563,0,5,Basic,medium
41039,31,0,1,30,94120,4,8,2004,1,1,561,7853,291,1,3,Basic,medium
81870,60,0,1,100,58048,3,8,2020,0,0,3632,5960,723,1,3,Basic,very_high
4805,47,1,1,99,48026,5,5,1995,0,1,2788,4069,839,1,0,Basic,very_low
88001,56,0,1,74,70983,5,9,2007,0,0,7889,8879,548,1,1,Basic,very_high
34075,70,1,1,28,7956,2,2,1995,1,1,7842,6296,545,1,4,Luxury,low
24762,22,0,1,62,50367,10,10,1999,1,1,5264,3986,502,1,1,Basic,low
27445,13,0,1,21,34164,3,4,2016,0,1,4087,5914,625,0,6,Basic,low
47618,53,1,0,98,77919,9,6,1996,1,1,7883,8714,137,0,4,Basic,medium
3929,60,0,1,69,87322,7,5,1993,1,0,7470,3744,669,1,0,Basic,very_low
68572,54,1,1,87,21174,7,10,2011,0,1,7267,9654,959,1,10,Basic,high
31802,100,0,0,80,6094,7,3,1990,0,1,3049,6665,476,1,10,Basic,low
24762,22,0,1,62,50367,10,10,1999,1,1,5264,3986,502,1,1,Basic,low
53536,62,0,0,42,35800,4,8,2018,1,1,3985,1470,693,0,0,Basic,medium
42734,84,0,1,67,3854,9,2,1990,1,0,8532,9106,195,1,10,Basic,medium
16915,1,1,0,82,97706,7,8,2006,0,1,5580,1111,600,0,5,Basic,very_low
34946,56,0,1,44,76782,7,10,1994,0,1,759,4399,789,0,4,Basic,low
86718,55,0,0,5,59434,1,8,2003,0,1,1608,3383,729,1,6,Basic,very_high
83789,40,0,0,55,85979,7,10,1992,0,1,518,5017,404,1,6,Basic,very_high
55049,8,1,0,30,56273,1,3,2005,1,0,4434,6989,468,0,7,Basic,medium
6856,55,1,0,22,64179,2,9,2007,0,0,8070,9026,211,1,6,Basic,very_low
78934,44,0,0,22,57594,4,3,1996,0,0,6556,7690,870,0,3,Basic,high
56127,65,1,1,69,70326,6,3,1991,0,0,536,7349,647,1,6,Basic,medium
28795,64,1,1,50,97667,3,4,2009,1,1,9862,2666,330,1,0,Luxury,low
99907,6,0,1,8,89857,5,4,2019,0,1,5185,3353,999,0,6,Basic,very_high
7362,14,0,0,16,13055,4,1,2000,0,0,6445,440,631,1,7,Basic,very_low
55439,63,1,0,82,70776,5,2,1996,0,1,4954,5749,843,1,10,Basic,medium
24972,4,1,1,80,61431,10,5,2007,0,0,6402,8920,979,1,1,Basic,low
10727,23,0,0,46,32405,2,7,1995,1,1,8648,7338,802,0,9,Basic,very_low
50223,34,0,0,80,98357,8,9,2016,1,0,5747,5952,839,0,3,Basic,medium
64879,80,0,1,12,40356,9,4,2021,0,1,5685,6810,914,1,1,Basic,high
61787,96,0,0,53,43066,7,6,2000,1,0,9961,9345,531,0,0,Basic,high
50793,51,0,1,21,57949,4,9,2015,0,0,4263,8736,860,1,10,Basic,medium
33098,24,1,1,13,16595,8,10,2021,0,0,3844,9677,380,0,5,Basic,low
58092,76,1,0,42,91522,1,10,2000,1,1,2172,8285,329,0,5,Basic,medium
75152,91,1,0,37,61836,3,3,2018,1,0,4717,5685,412,0,2,Basic,high
31055,90,0,0,66,9711,3,5,2012,0,0,4128,8944,464,0,0,Basic,low
54520,29,0,0,66,18657,5,5,2007,1,0,7599,8461,925,0,6,Basic,medium
69919,54,0,1,49,34026,9,1,2016,0,1,9331,790,500,0,4,Basic,high
91992,40,0,1,45,73321,2,7,2015,0,1,2030,9555,209,1,1,Basic,very_high
73692,80,1,0,20,28102,10,6,1992,0,1,5200,5513,520,0,7,Basic,high
58092,76,1,0,42,91522,1,10,2000,1,1,2172,8285,329,0,5,Basic,medium
25680,51,1,0,11,39163,9,8,2009,0,1,8681,5729,829,1,2,Basic,low
89655,37,0,0,40,11828,8,10,1993,1,0,1869,4519,281,0,5,Basic,very_high
92563,2,1,0,22,53323,7,8,1993,1,1,4159,5790,722,1,6,Basic,very_high
56587,50,0,1,98,42357,4,10,2006,1,0,6539,3876,505,0,5,Basic,medium
57475,67,0,0,83,2788,2,3,2007,0,1,654,7868,914,0,2,Basic,medium
11512,93,0,0,59,86123,7,6,2012,0,1,8834,3460,279,0,7,Basic,very_low
62766,25,1,1,23,40478,3,5,2013,0,1,4652,7173,724,1,6,Basic,high
50877,87,1,1,89,10814,1,10,2002,0,1,9927,238,831,0,5,Basic,medium
85661,8,1,0,22,7773,4,8,2013,1,0,679,9323,343,1,10,Basic,very_high
89490,98,0,0,47,1906,2,4,2003,1,0,7956,8045,762,0,1,Basic,very_high
19054,27,1,1,64,59992,5,10,2017,1,0,9531,8510,968,0,3,Luxury,very_low
18834,29,0,1,34,3629,10,4,2021,0,1,3958,1012,927,1,6,Basic,very_low
96573,74,1,0,28,17971,4,6,1993,1,0,2651,5450,303,1,10,Basic,very_high
57722,21,1,1,69,50612,9,10,2020,1,1,5689,9188,518,1,0,Luxury,medium
49186,23,0,0,4,99760,3,4,1991,1,1,6893,8896,545,1,10,Basic,medium
57838,32,1,1,74,5883,10,4,2002,1,0,4170,2913,286,0,4,Luxury,medium
74037,75,1,0,84,185,5,10,1997,1,1,533,7143,688,1,10,Basic,high
62592,47,1,0,30,92892,4,10,2017,0,0,6845,1485,833,0,7,Basic,high
43337,14,0,0,98,74760,2,8,1993,0,0,1389,1163,121,0,8,Basic,medium
49806,15,1,0,6,72364,7,7,2021,1,0,1547,2515,504,1,7,Basic,medium
8163,17,0,1,45,96977,2,7,1992,1,0,5815,5817,948,0,7,Basic,very_low
21522,93,0,1,11,25640,8,8,2008,1,0,2259,4540,804,1,4,Basic,low
20486,81,0,1,17,18945,2,7,2013,1,0,9303,7062,876,0,10,Basic,low
20533,93,1,0,91,96947,9,9,2019,1,0,9659,7883,618,0,2,Basic,low
84805,15,0,1,9,29472,8,7,2004,0,1,501,1126,406,1,9,Basic,very_high
28772,4,1,1,85,61413,2,4,2003,0,0,8141,5596,327,0,9,Basic,low
33936,95,1,1,93,31995,4,8,2018,1,0,11,4743,590,1,9,Luxury,low
22323,33,0,1,67,74635,8,3,1996,0,0,126,3171,449,0,5,Basic,low
48559,58,0,0,97,28966,2,6,2008,0,0,8229,4363,409,0,9,Basic,medium
60396,100,1,1,81,92255,7,9,2012,1,1,5943,7937,950,1,1,Luxury,high
49608,59,0,1,10,71685,5,7,1992,0,1,2647,7510,580,1,10,Basic,medium
79356,46,0,1,24,58322,5,3,2001,0,1,1994,904,601,1,1,Basic,high
12739,100,0,0,70,91335,10,8,2010,1,0,7855,3597,910,0,2,Basic,very_low
68035,25,0,1,41,84764,5,3,1992,0,0,1125,1319,114,1,7,Basic,high
44911,33,0,0,56,3014,10,6,2001,1,1,8835,9875,559,1,0,Basic,medium
4920,96,1,1,67,72459,5,9,1993,1,1,681,8825,598,0,2,Luxury,very_low
40081,48,0,0,21,98496,6,6,2012,1,0,1731,7398,359,1,10,Basic,medium
3155,53,1,1,16,3192,1,7,2015,0,1,9865,2992,150,1,10,Basic,very_low
76231,24,1,1,89,32609,7,4,2009,0,1,9882,5348,335,1,8,Basic,high
23841,71,1,1,25,32106,3,7,2010,1,1,7590,5224,564,1,1,Luxury,low
838,30,1,1,8,23119,7,2,2003,1,1,3367,3336,855,0,6,Luxury,very_low
40266,100,0,1,14,96142,6,4,2009,0,0,3106,8224,851,1,8,Basic,medium
84947,54,0,0,68,53510,5,7,2014,1,1,1588,6315,675,1,1,Basic,very_high
83710,14,0,1,3,73055,4,8,2000,1,0,6533,1034,976,1,9,Basic,very_high
81860,68,1,0,65,95833,10,5,2000,0,1,5409,8288,870,1,7,Basic,very_high
27503,90,0,0,46,24262,9,8,1995,0,1,6284,2259,291,1,8,Basic,low
5640,2,1,0,44,65731,2,2,2018,1,1,8766,2956,313,0,0,Basic,very_low
68760,86,0,1,90,97738,8,5,2009,1,0,3855,9786,651,1,7,Basic,high
17687,33,0,0,58,23804,1,6,1999,1,0,4510,9564,725,0,6,Basic,very_low
5988,72,1,1,10,57227,10,5,2009,0,0,7391,1692,487,1,2,Basic,very_low
27899,86,1,1,64,38551,6,2,1998,1,0,2211,3489,330,1,1,Luxury,low
43247,6,0,0,9,7804,8,8,2019,1,0,9115,6839,269,0,3,Basic,medium
53056,97,0,0,71,68087,10,6,2005,0,1,5748,3062,255,1,3,Basic,medium
92722,72,1,1,82,96132,2,10,2014,0,1,7623,4346,835,1,0,Basic,very_high
77045,29,0,1,25,58364,1,4,2013,1,0,6537,6920,955,1,9,Basic,high
91114,71,0,1,54,75295,1,2,1990,0,1,6172,463,271,0,4,Basic,very_high
68309,3,0,0,83,8528,4,10,2006,0,1,1714,3794,895,0,10,Basic,high
98826,87,1,1,77,7899,7,2,2007,0,0,12,9849,948,1,9,Basic,very_high
61445,70,1,0,98,95470,3,5,1990,1,0,7403,7647,528,0,5,Basic,high
74079,67,0,1,28,64669,1,4,2002,1,1,695,5687,853,0,4,Basic,high
37822,23,0,0,71,28785,4,10,2011,1,1,384,9476,814,1,9,Basic,low
74729,92,1,1,59,15630,2,9,2000,1,1,5584,3958,274,1,1,Luxury,high
73943,29,1,1,32,80149,5,10,2005,1,1,4065,8991,328,1,8,Luxury,high
57950,46,1,1,71,6012,4,1,1993,0,1,8422,7618,271,0,0,Basic,medium
83564,20,1,1,60,82650,10,5,2010,1,1,5420,9908,927,1,2,Luxury,very_high
54042,17,1,1,76,59660,7,6,2008,1,0,2160,5116,112,0,4,Luxury,medium
54563,2,0,0,95,53773,1,4,2002,1,0,1697,6041,150,0,3,Basic,medium
92770,79,1,1,12,63155,8,2,2011,0,1,2888,8347,377,1,7,Basic,very_high
24321,59,1,0,51,23189,6,2,2013,1,1,8292,5226,594,0,8,Basic,low
75669,31,1,1,64,58394,5,6,1993,1,1,3501,446,613,1,1,Luxury,high
63026,19,1,1,7,43079,9,4,2004,1,0,349,361,872,0,9,Luxury,high
82353,84,1,0,98,77619,3,9,2011,1,0,9983,1020,612,1,3,Basic,very_high
3261,6,0,1,32,45457,1,9,2010,1,1,3937,4002,969,0,4,Basic,very_low
83817,62,0,1,60,27912,7,2,2005,0,0,1130,1360,835,0,8,Basic,very_high
79399,21,1,0,44,42313,3,10,2006,0,1,1033,207,869,1,0,Basic,high
3343,76,1,0,65,4913,5,6,2004,0,1,5841,2608,281,0,0,Basic,very_low
47628,81,1,0,41,23354,2,5,2021,0,1,3423,6360,561,1,4,Basic,medium
72120,20,1,0,14,97295,7,3,2015,0,1,1204,5831,402,1,6,Basic,high
82629,5,0,0,51,15024,10,8,2012,1,1,6941,1424,840,1,9,Basic,very_high
23614,53,1,0,90,9649,4,4,2020,1,1,1199,5240,671,0,8,Basic,low
97392,48,0,1,83,29178,10,9,2016,1,1,2771,6219,167,0,2,Basic,very_high
65823,2,0,1,40,30868,1,3,1999,1,0,5338,3077,655,1,10,Basic,high
23558,26,1,0,33,49364,3,3,1996,0,0,4650,2775,411,1,1,Basic,low
46219,88,1,0,88,29524,6,9,2012,1,1,4624,4445,444,0,7,Basic,medium
85301,88,0,0,50,24540,8,10,2016,1,1,5153,3018,449,0,4,Basic,very_high
75898,97,0,1,6,33301,2,10,1990,1,1,6591,6169,411,0,8,Basic,high
10549,25,0,1,57,71708,5,3,2005,1,0,774,8107,939,0,10,Basic,very_low
87353,5,1,1,47,25992,8,3,1991,1,1,5013,5168,108,0,8,Luxury,very_high
14322,63,0,1,66,35929,3,5,2017,0,0,567,9267,352,0,6,Basic,very_low
14856,3,0,1,57,51473,6,1,2018,0,0,3592,3199,819,0,5,Basic,very_low
92539,55,1,0,74,64623,5,10,2001,1,0,5478,3556,427,1,9,Basic,very_high
99093,39,1,0,34,42143,2,8,2012,0,1,7447,9723,207,0,3,Basic,very_high
65670,3,1,0,44,66416,1,6,2009,0,1,3615,4043,638,0,3,Basic,high
48032,91,0,1,45,61981,10,9,2016,0,1,2287,5310,381,1,1,Basic,medium
65001,18,1,0,37,72546,8,6,2013,1,0,4731,2386,792,0,8,Basic,high
37677,5,1,1,32,13879,10,5,2002,1,0,5108,973,102,0,8,Luxury,low
6556,57,1,1,46,58267,3,5,1997,0,0,715,154,832,0,6,Basic,very_low
71930,76,1,0,31,4249,10,10,2018,1,0,6593,4054,325,0,9,Basic,high
90304,52,0,0,33,81097,8,7,2020,1,0,4104,2797,803,0,1,Basic,very_high
74325,50,1,1,58,91978,8,10,1994,0,1,4008,1952,275,0,5,Basic,high
11914,36,1,0,57,95044,8,6,2005,0,1,6274,1131,897,0,10,Basic,very_low
31525,25,0,1,58,10367,4,1,1992,1,0,4833,5465,462,0,0,Basic,low
26492,46,0,0,6,70808,3,5,2012,0,0,8278,2467,897,1,9,Basic,low
64088,52,0,1,67,7722,9,7,2011,1,1,8966,8195,867,0,3,Basic,high
72587,98,1,1,20,67127,9,5,1998,1,0,7012,1497,493,0,7,Luxury,high
47413,66,0,0,91,61968,8,6,2005,0,1,2015,5507,414,1,3,Basic,medium
2749,39,1,1,71,70278,9,5,2006,0,1,7795,43,415,0,9,Basic,very_low
53434,70,0,0,90,47639,8,2,2019,0,1,7719,1508,354,1,5,Basic,medium
41392,20,1,1,61,54754,4,9,1991,1,0,1803,4452,491,0,2,Luxury,medium
6807,53,0,1,19,96312,3,3,2008,1,0,2693,8767,503,0,0,Basic,very_low
966,71,0,1,85,10121,9,8,1997,1,1,8735,9362,744,0,7,Basic,very_low
88410,87,1,1,89,86851,4,5,2014,1,1,3973,6789,468,0,6,Luxury,very_high
43552,51,0,0,70,14069,7,5,2021,0,0,8136,590,591,1,7,Basic,medium
27247,42,1,1,39,98525,10,1,2019,1,1,6473,5987,405,0,3,Luxury,low
63953,67,0,1,25,70757,2,7,2004,0,1,6537,7924,638,1,4,Basic,high
87780,36,1,1,33,86321,1,1,1999,1,1,1723,6776,217,1,0,Luxury,very_high
96815,44,1,1,59,27363,5,3,1994,0,0,8231,9548,769,1,8,Basic,very_high
44799,32,0,1,71,94440,1,5,2003,0,0,7341,4727,408,1,6,Basic,medium
8732,25,0,0,37,90654,6,6,2021,1,0,4070,8862,763,1,7,Basic,very_low
20964,82,1,1,1,84565,9,7,2001,1,0,2157,7829,950,0,4,Luxury,low
40933,29,1,1,84,99838,1,10,2000,0,0,4791,9352,602,0,9,Basic,medium
84311,44,1,0,38,63461,7,9,2004,0,1,4762,6898,779,1,1,Basic,very_high
27171,63,1,0,93,64977,9,7,1997,0,0,1981,546,681,1,9,Basic,low
12939,55,0,0,48,27621,4,3,2006,0,0,2785,8311,292,0,7,Basic,very_low
23684,95,0,0,76,41456,5,10,2013,0,1,6588,9147,931,0,8,Basic,low
85811,70,1,1,91,66014,3,5,1999,1,0,8142,3463,552,1,1,Luxury,very_high
9737,37,1,0,51,37533,7,7,2017,0,0,3023,3403,917,1,0,Basic,very_low
61527,63,0,0,49,693,10,6,2007,1,1,464,7911,705,1,0,Basic,high
50118,80,1,0,76,39767,3,1,1998,0,1,7483,8194,687,0,0,Basic,medium
70607,8,0,1,28,48044,5,7,2009,0,0,6278,8181,397,0,0,Basic,high
59300,61,0,1,81,92773,6,8,2016,0,0,5786,5305,298,1,8,Basic,medium
28741,2,0,0,17,55862,2,3,2010,1,1,4434,2427,241,1,10,Basic,low
3929,60,0,1,69,87322,7,5,1993,1,0,7470,3744,669,1,0,Basic,very_low
78946,23,1,0,76,18158,2,9,2005,0,0,9835,4223,285,1,3,Basic,high
30830,70,1,1,49,36132,8,1,2000,1,0,6207,8573,745,0,5,Luxury,low
92464,91,1,1,52,2850,8,9,2018,0,1,1328,8562,742,1,7,Basic,very_high
95771,44,1,1,92,24498,7,10,1993,0,0,1091,5672,382,0,4,Basic,very_high
20851,89,1,0,33,76716,1,10,2004,1,0,2317,6358,677,0,0,Basic,low
3535,1,0,1,16,30010,4,8,1995,0,1,2341,9095,962,1,10,Basic,very_low
80225,100,0,0,67,79891,10,6,2002,1,1,656,971,932,1,6,Basic,very_high
46010,79,0,0,52,51318,1,3,2013,1,1,5335,8943,362,1,1,Basic,medium
97355,2,1,1,24,76516,6,1,2019,1,0,5554,9627,646,0,3,Luxury,very_high
98468,26,0,0,20,86880,7,3,2001,1,1,5451,7769,453,0,9,Basic,very_high
66731,4,0,1,83,36137,1,3,1999,1,0,4079,4194,711,0,5,Basic,high
26864,34,0,0,86,33578,3,4,2001,1,0,6504,3685,191,0,7,Basic,low
27226,80,0,0,77,30704,10,2,2014,0,1,2978,4685,775,1,10,Basic,low
75731,13,0,0,98,31310,9,5,2017,0,0,9189,6072,384,0,0,Basic,high
11259,26,0,1,82,34780,10,4,2010,1,0,902,3876,125,1,7,Basic,very_low
42179,11,0,0,40,69102,6,3,1999,1,1,9985,309,442,1,7,Basic,medium
75487,82,0,1,97,96333,4,7,2011,1,0,9162,1991,442,0,1,Basic,high
25532,94,0,0,25,9864,5,1,2006,1,1,6959,4906,235,1,3,Basic,low
67972,87,1,1,21,59094,10,6,2010,1,0,5459,7723,940,0,2,Luxury,high
60166,29,1,0,29,94953,2,9,1995,0,1,396,9674,142,1,6,Basic,high
99058,82,0,0,76,12232,10,6,1993,1,1,5627,2820,452,0,7,Basic,very_high
18160,10,1,1,49,73819,9,2,2019,0,0,1495,318,605,0,0,Basic,very_low
41987,18,0,0,44,63402,8,2,2017,0,1,9181,6469,454,0,2,Basic,medium
82653,31,0,1,37,23671,8,6,1992,0,0,6390,2348,480,1,3,Basic,very_high
55198,2,1,1,16,83765,4,9,2003,0,1,1900,6844,484,1,9,Basic,medium
64963,41,0,1,57,71468,10,7,1996,0,0,4626,5178,587,1,10,Basic,high
81557,38,1,1,19,50028,6,2,1990,0,0,238,3027,647,1,3,Basic,very_high
91458,44,0,0,49,73814,10,8,1991,1,0,2763,1749,108,1,6,Basic,very_high
33749,85,1,0,2,35590,8,9,2016,0,0,8671,5017,646,1,2,Basic,low
82141,93,1,1,61,74213,3,7,2019,1,1,8785,6602,968,1,4,Luxury,very_high
92326,37,1,1,38,21773,1,8,2017,1,1,764,31,913,0,4,Luxury,very_high
7822,85,0,0,13,30657,3,1,1994,1,0,2111,5437,323,0,10,Basic,very_low
61152,84,1,0,34,98475,9,1,2007,0,1,8053,8240,884,1,7,Basic,high
95395,4,1,0,18,68865,1,4,2004,1,1,9564,2100,565,1,10,Basic,very_high
97884,37,0,0,5,37378,6,10,1996,1,1,8357,263,775,1,3,Basic,very_high
89887,57,0,0,91,87207,7,10,2021,0,1,7003,6628,140,1,7,Basic,very_high
91501,84,0,1,14,63857,3,4,2003,0,1,3065,388,494,1,10,Basic,very_high
5140,35,0,0,83,8869,3,2,2006,1,1,3465,7684,882,1,0,Basic,very_low
11757,57,1,1,5,10613,6,5,1993,1,1,2326,7969,760,0,3,Luxury,very_low
68369,86,1,0,19,94411,7,7,2010,1,1,3330,9662,292,0,2,Basic,high
22884,87,0,1,3,60484,2,4,1994,1,1,7608,6094,267,1,1,Basic,low
71146,77,1,1,45,93340,1,3,2007,1,1,2192,6332,458,0,3,Luxury,high
